Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2016 Ford Explorer Police Interceptor,$ 1 700 USD,1,1FM5K8AR9GGB81611,,15.05.2024 17:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,4х4 с передним приводом,,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 8 936 USD,$ 10 000 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,4-дверный спорт,Повреждение задней части
2008 Ford F150,$ 1 300 USD,1,1FTRF12298KD93412,121 774 mi(подтвержден),15.05.2024 17:00 UTC,4.2l 6,Белый,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""NEW ORLEANS, FLORIDA"",$ 0 USD,$ 9 225 USD,FL - CERTIFICATE OF TITLE,Аренда,Нормальный износ,,
2005 Chrysler Town & Country,$ 275 USD,1,1C4GP45R25B441231,258 629 mi,15.05.2024 17:00 UTC,3.3l 6,Синий,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 2 135 USD,$ 3 038 USD,TN - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,спортивная версия,Повреждение передней части
2014 Nissan Altima 2.5,$ 2 400 USD,1,1N4AL3APXEC204910,115 430 mi(подтвержден),15.05.2024 17:00 UTC,2.5l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 7 230 USD,$ 8 175 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,4-дверный седан,Незначительная вмятина/царапины
2010 Toyota Venza,$ 2 600 USD,1,4T3ZA3BB5AU022092,199 861 mi(подтвержден),15.05.2024 17:00 UTC,2.7l 4,Темно-бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 2 695 USD,$ 10 225 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Незначительная вмятина/царапины
2013 Nissan Rogue S,$ 425 USD,1,JN8AS5MTXDW001938,162 255 mi(подтвержден),15.05.2024 17:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""LEBANON, TENNESSEE"",$ 9 431 USD,$ 7 025 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,4-дверный спорт,Повреждение стороны
2017 Chevrolet Silverado C3500,$ 6 000 USD,1,1GB3CYCG3HZ309341,96 146 mi(подтвержден),15.05.2024 16:00 UTC,6.0l 8,Белый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""COLTON, CALIFORNIA"",$ 22 788 USD,$ 32 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2014 Nissan Frontier S,$ 3 850 USD,1,1N6BD0CT6EN732305,169 122 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 12 100 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Дилерские услуги Copart,Незначительная вмятина/царапины,4-дверный удлиненный,
2020 Nissan Rogue S,$ 5 100 USD,1,KNMAT2MT7LP512118,53 740 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 11 103 USD,$ 18 075 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2017 Ford Mustang,$ 4 450 USD,1,1FA6P8THXH5330870,98 623 mi(подтвержден),15.05.2024 19:00 UTC,2.3l 4,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 16 505 USD,$ 16 800 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2017 Chevrolet Equinox Ls,$ 700 USD,1,2GNALBEK6H1613538,,15.05.2024 19:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 11 518 USD,$ 12 900 USD,CA - SALVAGE CERTIFICATE,Кража,Повсюду,,
2023 Kia K5 Lxs,$ 8 100 USD,1,5XXG14J21PG194100,,15.05.2024 16:00 UTC,1.6l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""SACRAMENTO, CALIFORNIA"",$ 0 USD,$ 26 000 USD,CA - NON-REPAIRABLE VEHICLE CERT,Аренда,Повсюду,,
2018 Subaru Outback 2.5i Premium,$ 2 500 USD,1,4S4BSACC4J3345171,75 775 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Темно-бордовый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 14 839 USD,$ 19 425 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2024 Mazda Cx-50 Preferred,$ 11 000 USD,1,7MMVABBM1RN180815,3 605 mi(подтвержден),15.05.2024 16:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HUEYTOWN, TENNESSEE"",$ 0 USD,$ 0 USD,TN - CERTIFICATE OF TITLE,Аренда,Повреждение передней части,,
2024 Nissan Kicks Sv,$ 3 000 USD,1,3N1CP5CVXRL490835,,15.05.2024 16:00 UTC,1.6l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""HAYWARD, CALIFORNIA"",$ 0 USD,$ 0 USD,CA - NON-REPAIRABLE VEHICLE CERT,Аренда,Повреждение передней части,,Повреждение ходовой части
2011 Chevrolet Equinox Lt,$ 1 000 USD,1,2CNALDEC1B6384348,152 812 mi(подтвержден),15.05.2024 17:00 UTC,2.4l 4,Желто-коричневый,,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 4 433 USD,$ 6 450 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2016 Ford F450 Super Duty,$ 1 950 USD,1,1FDUF4GT6GEC18265,122 852 mi(подтвержден),15.05.2024 16:00 UTC,6.7l 8,Желтый,Автоматическая,Дизель,задний привод,Ключи присутствуют,заводится и едет,""GRAHAM, WASHINGTON"",$ 57 560 USD,$ 32 875 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,шасси,Незначительная вмятина/царапины
2020 Nissan Nv200 2.5s,$ 11 900 USD,2,3N6CM0KN9LK700703,56 748 mi(подтвержден),15.05.2024 16:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, CALIFORNIA"",$ 0 USD,$ 25 738 USD,CA - CERTIFICATE OF TITLE,Дилерские услуги Copart,Повреждение передней части,,
2010 Ford Escape Hybrid,$ 275 USD,3,1FMCU4K32AKA46981,,15.05.2024 17:00 UTC,2.5l 4,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 0 USD,$ 6 125 USD,LA - CERTIFICATE OF TITLE,Публичный коносамент,Повреждение передней части,,
2018 Chevrolet Express G2500,$ 3 000 USD,3,1GCWGAFG5J1240785,,15.05.2024 16:00 UTC,6.0l 8,Белый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""GRAHAM, WASHINGTON"",$ 24 529 USD,$ 0 USD,WA - BILL OF SALE,Столкновение,Повреждение задней части,,
2014 Chevrolet Sonic Lt,$ 150 USD,1,1G1JC6SH0E4157005,,15.05.2024 17:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""ANDREWS, TEXAS"",$ 12 803 USD,$ 8 225 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повсюду,,Биологическая/Химическая опасность
2012 Hyundai Elantra Gls,$ 2 200 USD,1,KMHDH4AE0CU220324,136 471 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 0 USD,$ 6 125 USD,AZ - CERTIFICATE OF TITLE,Дилерские услуги Copart,Незначительная вмятина/царапины,,
2008 Dodge Dakota Quad,$ 1 050 USD,1,1D7HE28K88S581467,164 896 mi(подтвержден),15.05.2024 17:00 UTC,3.7l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 6 041 USD,$ 7 025 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,Незначительная вмятина/царапины
1998 Chevrolet Express G3500,$ 775 USD,1,1GAHG39J0W1038934,133 289 mi,15.05.2024 16:00 UTC,7.4l 8,Бежевый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MAGNA, UTAH"",$ 6 264 USD,$ 4 675 USD,UT - SALVAGE CERTIFICATE,Кража,Нормальный износ,расширенный,
2007 Toyota 4runner Sr5,$ 4 100 USD,1,JTEZT14R478011460,101 337 mi(подтвержден),15.05.2024 17:00 UTC,4.7l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 9 021 USD,$ 10 650 USD,LA - CERT OF TITLE-SALVAGE,Материальный ущерб,Повреждение передней части,,Незначительная вмятина/царапины
2004 Gmc Savana G2500,$ 150 USD,3,1GTGG25V041900360,228 095 mi,15.05.2024 16:00 UTC,4.8l 8,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""ARLINGTON, WASHINGTON"",$ 0 USD,$ 8 300 USD,WA - CERT OF OWNERSHIP-REBUILT,Дилерские услуги Copart,Повреждение передней части,грузовой фургон,Повреждение стороны
2020 Jeep Renegade Latitude,$ 1 450 USD,1,ZACNJBB16LPL07625,,15.05.2024 18:00 UTC,1.3l 4,Бирюзовый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,улучшенные транспортные средства,""COLORADO SPRINGS, COLORADO"",$ 28 190 USD,$ 20 775 USD,CO - SALVAGE TITLE,Столкновение,Повсюду,,
2006 Dodge Ram 1500 St,$ 1 850 USD,1,1D7HU18216S571521,141 291 mi(подтвержден),15.05.2024 16:00 UTC,5.7l 8,Красный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""BAKERSFIELD, CALIFORNIA"",$ 10 638 USD,$ 8 400 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2017 Acura Mdx Technology,$ 5 900 USD,1,5FRYD3H52HB004619,103 789 mi(подтвержден),15.05.2024 17:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 18 250 USD,$ 18 975 USD,LA - CERTIFICATE OF DESTRUCTION,Вода/Наводнение,Вода/Наводнение,,
2022 Ford F350 Super Duty,$ 9 700 USD,1,1FD8W3HT4NEC26078,29 348 mi(подтвержден),15.05.2024 16:00 UTC,6.7l 8,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 47 259 USD,$ 59 345 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2011 Toyota Prius,$ 450 USD,1,JTDKN3DU2B1412541,173 506 mi,15.05.2024 19:00 UTC,1.8l 4,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 8 150 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение задней части
2016 Ford Fusion Se,$ 700 USD,1,3FA6P0H90GR169332,149 978 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""CHICAGO HEIGHTS, INDIANA"",$ 9 993 USD,$ 10 325 USD,IN - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение передней части,4-дверный седан,
